SOURCE_DESC	SECTOR_DESC	GROUP_DESC	COMMODITY_DESC	CLASS_DESC	PRODN_PRACTICE_DESC	UTIL_PRACTICE_DESC	STATISTICCAT_DESC	UNIT_DESC	SHORT_DESC	DOMAIN_DESC	DOMAINCAT_DESC	AGG_LEVEL_DESC	STATE_ANSI	STATE_FIPS_CODE	STATE_ALPHA	STATE_NAME	ASD_CODE	ASD_DESC	COUNTY_ANSI	COUNTY_CODE	COUNTY_NAME	REGION_DESC	ZIP_5	WATERSHED_CODE	WATERSHED_DESC	CONGR_DISTRICT_CODE	COUNTRY_CODE	COUNTRY_NAME	LOCATION_DESC	YEAR	FREQ_DESC	BEGIN_CODE	END_CODE	REFERENCE_PERIOD_DESC	WEEK_ENDING	LOAD_TIME	VALUE	CV_%
CENSUS	CROPS	VEGETABLES	BEANS	SNAP	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	BEANS, SNAP - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	(D)	
CENSUS	CROPS	FIELD CROPS	COTTON	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	COTTON - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	24,598	
CENSUS	CROPS	FIELD CROPS	COTTON	UPLAND	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	COTTON, UPLAND - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	24,598	
CENSUS	CROPS	FIELD CROPS	COTTON	UPLAND	IRRIGATED	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	COTTON, UPLAND, IRRIGATED - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	(D)	
CENSUS	CROPS	FIELD CROPS	HAY & HAYLAGE	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	HAY & HAYLAGE - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	12,055	
CENSUS	CROPS	FIELD CROPS	HAY	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	HAY - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	12,258	
CENSUS	CROPS	FIELD CROPS	HAY	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	PRODUCTION	TONS	HAY - PRODUCTION, MEASURED IN TONS	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	(D)	
CENSUS	CROPS	FIELD CROPS	HAY	ALL CLASSES	IRRIGATED	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	HAY, IRRIGATED - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	82	
CENSUS	CROPS	FIELD CROPS	HAY	ALFALFA	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	HAY, ALFALFA - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	365	
CENSUS	CROPS	FIELD CROPS	HAY	ALFALFA	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	PRODUCTION	TONS	HAY, ALFALFA - PRODUCTION, MEASURED IN TONS	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	860	
CENSUS	CROPS	FIELD CROPS	HAY	ALFALFA	IRRIGATED	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	HAY, ALFALFA, IRRIGATED - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	(D)	
CENSUS	CROPS	FIELD CROPS	HAY	SMALL GRAIN	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	HAY, SMALL GRAIN - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	453	
CENSUS	CROPS	FIELD CROPS	HAY	SMALL GRAIN	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	PRODUCTION	TONS	HAY, SMALL GRAIN - PRODUCTION, MEASURED IN TONS	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	(D)	
CENSUS	CROPS	FIELD CROPS	HAY	WILD	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	HAY, WILD - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	1,022	
CENSUS	CROPS	FIELD CROPS	HAY	WILD	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	PRODUCTION	TONS	HAY, WILD - PRODUCTION, MEASURED IN TONS	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	1,326	
CENSUS	CROPS	FIELD CROPS	RYE	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	RYE - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	(D)	
CENSUS	CROPS	FIELD CROPS	RYE	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	PRODUCTION	BU	RYE - PRODUCTION, MEASURED IN BU	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	(D)	
CENSUS	CROPS	FIELD CROPS	SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	SOYBEANS - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	3,347	
CENSUS	CROPS	FIELD CROPS	SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	PRODUCTION	BU	SOYBEANS - PRODUCTION, MEASURED IN BU	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	95,601	
CENSUS	CROPS	FIELD CROPS	SUNFLOWER	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	SUNFLOWER - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	23	
CENSUS	CROPS	FIELD CROPS	SUNFLOWER	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	PRODUCTION	LB	SUNFLOWER - PRODUCTION, MEASURED IN LB	TOTAL	NOT SPECIFIED	COUNTY	01	01	AL	ALABAMA	10	NORTHERN VALLEY	033	033	COLBERT			00000000			9000	UNITED STATES	ALABAMA, NORTHERN VALLEY, COLBERT	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	8,250	
